Chain,tree,random tree,true tree
1,L00F00C00,294.1733,313.1267
1,L10F10C10,294.1733,303.2489
1,L25F25C25,284.4044,258.8
1,L50F50C50,145.8778,123.6311
1,L75F75C75,134.6711,77.42444
2,L00F00C00,45.60889,55.16444
2,L10F10C10,94.19778,62.37333
2,L25F25C25,165.66,105.8978
2,L50F50C50,171.7444,130.3511
2,L75F75C75,91.48889,100.0222
3,L00F00C00,243.4222,338.0489
3,L10F10C10,136.4089,140.0311
3,L25F25C25,161.6356,227.6089
3,L50F50C50,266.3044,
3,L75F75C75,372.0444,376.58
4,L00F00C00,92.84889,146.3022
4,L10F10C10,292.5067,295.1178
4,L25F25C25,209.5578,302.1689
4,L50F50C50,143.1756,121.76
4,L75F75C75,116.8733,87.24
5,L00F00C00,283.9756,288.2578
5,L10F10C10,,322.5556
5,L25F25C25,71.18222,129.4156
5,L50F50C50,118.7067,123.14
5,L75F75C75,56.44,65.72667
6,L00F00C00,64.56222,172.1822
6,L10F10C10,98.86444,197.2711
6,L25F25C25,112.7978,330.9933
6,L50F50C50,171.9956,179.1867
6,L75F75C75,64.39556,118.7489
7,L00F00C00,74.92,68.45333
7,L10F10C10,270.0489,250.1311
7,L25F25C25,309.0333,301.98
7,L50F50C50,217.5022,156.2289
7,L75F75C75,139.7556,83.47111
8,L00F00C00,291.1378,77.86
8,L10F10C10,168.4267,309.2689
8,L25F25C25,233.7444,238.9511
8,L50F50C50,88.73333,160.0111
8,L75F75C75,128.7244,230.9333
9,L00F00C00,93.96222,83.55778
9,L10F10C10,108.0156,148.8067
9,L25F25C25,124.5244,85.68667
9,L50F50C50,156.3956,163.1022
9,L75F75C75,107.5733,108.0444
10,L00F00C00,53.72667,97.98222
10,L10F10C10,307.4889,110.66
10,L25F25C25,264.7267,353.9533
10,L50F50C50,283.26,147.6022
10,L75F75C75,211.84,236.74
11,L00F00C00,298.1933,174.2733
11,L10F10C10,294.4467,320.7533
11,L25F25C25,245.6333,208.9356
11,L50F50C50,158.1978,120.6689
11,L75F75C75,84.18444,109.6178
12,L00F00C00,70.24889,101.7622
12,L10F10C10,110.8,278.6311
12,L25F25C25,104.2333,106.24
12,L50F50C50,208.3889,196.8844
12,L75F75C75,102.3,145.1867
13,L00F00C00,199.4489,327.6
13,L10F10C10,327.0422,335.6511
13,L25F25C25,327.9689,272.0844
13,L50F50C50,167.5467,258.0889
13,L75F75C75,185.8733,206.8978
14,L00F00C00,307.7467,192.1156
14,L10F10C10,216.2889,84.68667
14,L25F25C25,325.6422,327.5511
14,L50F50C50,161.58,59.86889
14,L75F75C75,127.9733,133.5956
15,L00F00C00,82.57556,102.0156
15,L10F10C10,229.5644,96.64444
15,L25F25C25,189.9311,315.5244
15,L50F50C50,140.9222,88.96
15,L75F75C75,58.14444,94.11111
16,L00F00C00,130.9822,190.1489
16,L10F10C10,215.9844,293.4333
16,L25F25C25,121.72,355.5689
16,L50F50C50,120.5844,115.8467
16,L75F75C75,261.3911,140.8311
17,L00F00C00,69.40667,85.78889
17,L10F10C10,68.67778,98.03333
17,L25F25C25,76.98667,181.2222
17,L50F50C50,166.1022,290.8222
17,L75F75C75,222.9133,120.1333
18,L00F00C00,124.1267,104.2422
18,L10F10C10,237.0378,198.5267
18,L25F25C25,305.0444,200.28
18,L50F50C50,193.0422,147.5689
18,L75F75C75,130.0222,204.5044
19,L00F00C00,47.78889,36.11111
19,L10F10C10,52.71556,59.62222
19,L25F25C25,88.11111,89.27111
19,L50F50C50,91.56222,56.89778
19,L75F75C75,81.26222,117.7156
20,L00F00C00,173.4111,306.8044
20,L10F10C10,305.9378,300.2911
20,L25F25C25,248.2933,151.38
20,L50F50C50,266.3467,208.5222
20,L75F75C75,71.70889,139.1533
